日時	時刻	気温	降水量	風向	風速	日照時間
日時	時	℃	mm	16方位	m/s	h
2016-05-23 01:00:00	1	18.3	0.0	南西	0.3	
2016-05-23 02:00:00	2	17.8	0.0	静穏	0.1	
2016-05-23 03:00:00	3	17.6	0.0	西	0.3	
2016-05-23 04:00:00	4	17.5	0.0	西	0.6	0.0
2016-05-23 05:00:00	5	17.0	0.0	北	0.7	0.0
2016-05-23 06:00:00	6	18.4	0.0	北北西	1.0	0.3
2016-05-23 07:00:00	7	22.1	0.0	北	2.6	1.0
2016-05-23 08:00:00	8	21.1	0.0	東	1.8	1.0
2016-05-23 09:00:00	9	22.9	0.0	東	1.5	1.0
2016-05-23 10:00:00	10	24.6	0.0	東北東	1.8	1.0
2016-05-23 11:00:00	11	24.5	0.0	東北東	2.2	1.0
2016-05-23 12:00:00	12	25.4	0.0	東	2.2	1.0
2016-05-23 13:00:00	13	28.9	0.0	南	0.8	1.0
2016-05-23 14:00:00	14	30.4	0.0	南南東	2.2	1.0
2016-05-23 15:00:00	15	30.4	0.0	南東	1.5	1.0
2016-05-23 16:00:00	16	30.4	0.0	南南東	2.2	1.0
2016-05-23 17:00:00	17	29.5	0.0	南南西	2.9	1.0
2016-05-23 18:00:00	18	28.2	0.0	南南西	2.9	0.8
2016-05-23 19:00:00	19	26.8	0.0	南西	3.3	0.0
2016-05-23 20:00:00	20	26.1	0.0	南南西	3.1	0.0
2016-05-23 21:00:00	21	25.3	0.0	南西	2.6	
2016-05-23 22:00:00	22					
2016-05-23 23:00:00	23					
2016-05-24 00:00:00	24					
