日時	時刻	気温	降水量	風向	風速	日照時間	湿度	気圧
日時	時	℃	mm	16方位	m/s	h	%	hPa
2016-05-23 01:00:00	1	15.0	0.0	東南東	5.7		85	1016.5
2016-05-23 02:00:00	2	15.8	0.0	東南東	4.8		78	1015.8
2016-05-23 03:00:00	3	15.7	0.0	東南東	5.4		59	1015.6
2016-05-23 04:00:00	4	13.2	0.0	東南東	4.3	0.0	68	1016.4
2016-05-23 05:00:00	5	12.8	0.0	東	3.7	0.0	72	1016.7
2016-05-23 06:00:00	6	14.0	0.0	北北西	2.5	0.0	71	1016.7
2016-05-23 07:00:00	7	15.0	0.0	東	2.1	0.0	67	1016.3
2016-05-23 08:00:00	8	19.7	0.0	東南東	3.6	0.8	54	1014.8
2016-05-23 09:00:00	9	21.3	0.0	東南東	3.8	1.0	40	1014.1
2016-05-23 10:00:00	10	22.2	0.0	東南東	3.5	1.0	37	1013.5
2016-05-23 11:00:00	11	22.5	0.0	南南東	3.6	1.0	43	1013.3
2016-05-23 12:00:00	12	23.9	0.0	東南東	3.1	1.0	40	1012.3
2016-05-23 13:00:00	13	24.3	0.0	南東	3.1	1.0	36	1011.8
2016-05-23 14:00:00	14	24.8	0.0	南東	3.7	1.0	40	1011.3
2016-05-23 15:00:00	15	24.7	0.0	南南東	2.3	1.0	38	1011.0
2016-05-23 16:00:00	16	24.0	0.0	南	2.6	1.0	48	1010.8
2016-05-23 17:00:00	17	23.0	0.0	南	2.0	1.0	53	1010.9
2016-05-23 18:00:00	18	21.7	0.0	南南東	4.1	1.0	59	1011.4
2016-05-23 19:00:00	19	20.0	0.0	南南東	3.4	0.5	64	1012.6
2016-05-23 20:00:00	20	19.9	0.0	南南東	4.7	0.0	59	1012.7
2016-05-23 21:00:00	21	19.6	0.0	南東	5.8		50	1013.1
2016-05-23 22:00:00	22							
2016-05-23 23:00:00	23							
2016-05-24 00:00:00	24							
