日時	時刻	気温	降水量	風向	風速	日照時間	湿度	気圧
日時	時	℃	mm	16方位	m/s	h	%	hPa
2016-05-23 01:00:00	1	19.9	0.0	西北西	1.0		69	1015.5
2016-05-23 02:00:00	2	18.8	0.0	北西	0.7		74	1015.2
2016-05-23 03:00:00	3	18.1	0.0	北北東	1.5		75	1015.1
2016-05-23 04:00:00	4	17.9	0.0	北東	1.5	0.0	74	1015.1
2016-05-23 05:00:00	5	16.7	0.0	北北東	1.9	0.0	78	1015.7
2016-05-23 06:00:00	6	17.0	0.0	北東	2.2	0.2	77	1016.0
2016-05-23 07:00:00	7	19.2	0.0	東北東	1.9	1.0	67	1015.9
2016-05-23 08:00:00	8	21.7	0.0	南東	0.7	1.0	52	1015.6
2016-05-23 09:00:00	9	24.7	0.0	南西	1.2	1.0	44	1014.9
2016-05-23 10:00:00	10	26.0	0.0	南東	0.6	1.0	37	1014.3
2016-05-23 11:00:00	11	28.8	0.0	北西	2.2	1.0	26	1013.7
2016-05-23 12:00:00	12	29.5	0.0	南	1.3	1.0	29	1012.7
2016-05-23 13:00:00	13	31.1	0.0	西北西	3.1	1.0	29	1012.0
2016-05-23 14:00:00	14	31.7	0.0	西	2.1	1.0	33	1011.5
2016-05-23 15:00:00	15	31.4	0.0	南西	4.0	1.0	28	1011.1
2016-05-23 16:00:00	16	30.8	0.0	西南西	3.6	1.0	28	1010.9
2016-05-23 17:00:00	17	29.5	0.0	南西	4.3	1.0	31	1010.8
2016-05-23 18:00:00	18	28.6	0.0	西南西	3.4	1.0	35	1011.1
2016-05-23 19:00:00	19	27.1	0.0	南西	3.5	0.7	41	1011.9
2016-05-23 20:00:00	20	25.9	0.0	南西	1.7	0.0	42	1012.6
2016-05-23 21:00:00	21	25.1	0.0	西南西	1.6		45	1013.0
2016-05-23 22:00:00	22							
2016-05-23 23:00:00	23							
2016-05-24 00:00:00	24							
