,0,1,2,3,4,5,6,7
0,日付,31土,1日,2月,3火,4水,5木,6金
1,釧路,0 /100/0/0/0,1 /1210,2 /1420,4 /1340,2 /1510,2 /1510,3 /1320
2,／,／,Ａ,Ｂ,Ａ,Ａ,Ａ,
3,旭川,0 /560/40/50/20,1 /920,1 /1310,3 /1320,2 /1310,2 /1520,1 /1130
4,／,／,Ａ,Ｂ,Ｂ,Ｂ,Ｃ,
5,札幌,3 /950/30/50/20,4 /1210,4 /1420,6 /1420,5 /1510,6 /1710,5 /1330
6,／,／,Ａ,Ｂ,Ａ,Ｂ,Ｃ,
7,青森,6 /1120/30/50/20,5 /1420,6 /1440,8 /1640,6 /1710,6 /1910,8 /1830
8,／,／,Ｃ,Ｃ,Ａ,Ｂ,Ｂ,
9,秋田,7 /1220/20/50/20,7 /1320,6 /1370,8 /1640,7 /1710,7 /1810,9 /1830
10,／,／,Ｂ,Ｃ,Ｂ,Ｂ,Ｃ,
11,仙台,8 /1420/10/20/10,6 /1610,7 /1480,10 /1830,9 /1910,9 /2010,11 /2020
12,／,／,Ｂ,Ａ,Ａ,Ａ,Ａ,
13,日付,31土,1日,2月,3火,4水,5木,6金
14,新潟,8 /1260/50/50/50,8 /1540,8 /1770,11 /1760,10 /1920,9 /2020,12 /1930
15,／,／,Ａ,Ｂ,Ｂ,Ｂ,Ｃ,
16,金沢,11 /1520/50/50/20,8 /1620,10 /1870,12 /1850,10 /2020,10 /2120,13 /2130
17,／,／,Ａ,Ｃ,Ａ,Ａ,Ｃ,
18,東京,11 /190/0/0/10,10 /1810,12 /1590,13 /2120,12 /2010,12 /2110,13 /2210
19,／,／,Ａ,Ａ,Ａ,Ａ,Ａ,
20,宇都宮,8 /1710/0/10/10,7 /1710,9 /1490,11 /2020,9 /2010,9 /2110,11 /2210
21,／,／,Ａ,Ａ,Ａ,Ａ,Ａ,
22,長野,6 /1420/20/40/20,4 /1510,7 /1570,8 /1630,6 /1910,6 /2010,8 /2010
23,／,／,Ｃ,Ｂ,Ａ,Ａ,Ａ,
24,名古屋,10 /180/0/0/0,8 /1920,12 /1970,11 /2020,10 /2110,12 /2120,13 /2220
25,／,／,Ａ,Ａ,Ａ,Ａ,Ｂ,
26,日付,31土,1日,2月,3火,4水,5木,6金
27,大阪,11 /190/0/10/10,9 /1950,12 /1970,11 /2020,11 /2110,13 /2220,14 /2330
28,／,／,Ａ,Ａ,Ａ,Ａ,Ａ,
29,高松,9 /180/0/0/0,8 /1950,10 /1970,9 /2010,9 /2110,11 /2120,13 /2220
30,／,／,Ａ,Ａ,Ａ,Ｂ,Ａ,
31,松江,9 /1610/10/10/10,9 /1850,8 /1760,9 /1830,9 /2010,10 /2130,12 /2130
32,／,／,Ｂ,Ａ,Ａ,Ａ,Ａ,
33,広島,9 /180/0/0/0,9 /1850,10 /1960,10 /2020,9 /2110,11 /2230,13 /2330
34,／,／,Ｃ,Ａ,Ａ,Ａ,Ａ,
35,高知,10 /210/0/0/0,10 /2160,11 /2170,10 /2210,10 /2310,12 /2330,14 /2430
36,／,／,Ｂ,Ａ,Ａ,Ｂ,Ｂ,
37,日付,31土,1日,2月,3火,4水,5木,6金
38,福岡,11 /170/0/0/0,10 /1950,13 /1960,12 /2010,11 /2110,13 /2310,15 /2420
39,／,／,Ｃ,Ａ,Ａ,Ａ,Ａ,
40,鹿児島,15 /2320/10/10/10,12 /2270,14 /2250,12 /2210,12 /2410,15 /2520,16 /2520
41,／,／,Ｃ,Ａ,Ａ,Ａ,Ｂ,
42,奄美,20 /2460/70/60/50,21 /2560,19 /2450,18 /2410,18 /2510,19 /2520,20 /2520
43,／,／,Ｃ,Ａ,Ａ,Ｂ,Ｂ,
44,那覇,23 /2750/50/30/20,22 /2740,22 /2620,21 /2610,21 /2610,22 /2720,22 /2720
45,／,／,Ｂ,Ａ,Ａ,Ｂ,Ｂ,
46,石垣,23 /290/10/10/50,23 /2840,23 /2720,22 /2710,23 /2830,23 /2830,23 /2830
47,／,／,Ｂ,Ａ,Ｃ,Ｃ,Ｃ,
